target,model_f1_score,model_f1_score_list,lda_auc,new_pipline_f1_score,new_pipline_f1_score_list
1,0.7358871248123718,"[0.781893   0.67611336 0.58241758 0.68727273 0.64166667 0.756238
 0.77647059 0.87033748 0.85057471]",0.9205207843137255,0.6299720804431195,"[0.71428571 0.74311927 0.65191147 0.56934307 0.6835443  0.63900415
 0.7311412  0.76995305 0.77121771 0.02620087]"
2,0.7436120025885178,"[0.78857143 0.80066445 0.63071895 0.69402985 0.61576355 0.82051282
 0.74449339 0.84076433 0.75698925]",0.8395195816993464,0.6445396922874845,"[0.60089686 0.78547855 0.60223925 0.52436975 0.53104925 0.4690027
 0.67813268 0.70535714 0.81818182 0.73068894]"
3,0.7715505909211451,"[0.7655914  0.8313253  0.69731801 0.696      0.74380165 0.80170576
 0.77108434 0.81481481 0.82231405]",0.8492455947712418,0.6598756457541629,"[0.73706897 0.8266129  0.61567164 0.63355408 0.63306452 0.13592233
 0.71011236 0.72032193 0.78070175 0.80572597]"
4,0.6937113154858859,"[0.68284229 0.76470588 0.54404145 0.54298643 0.64864865 0.77005348
 0.8212766  0.75403226 0.71481481]",0.8590661960784315,0.6215210807769054,"[0.62565905 0.77732794 0.32121212 0.44117647 0.63097294 0.6020202
 0.69155206 0.69082126 0.73705179 0.69741697]"
5,0.7407453493590175,"[0.7494824  0.81569966 0.64864865 0.59080963 0.69789227 0.77254902
 0.76651982 0.86988848 0.75521822]",0.8980850196078433,0.6471989044926196,"[0.73770492 0.81016949 0.5631929  0.02586207 0.65865385 0.69336259
 0.72765073 0.6590389  0.86029412 0.73605948]"
6,0.7073046132887147,"[0.78927203 0.82375479 0.65774379 0.48526077 0.66535433 0.62768031
 0.7756654  0.77333333 0.76767677]",0.8812644183006537,0.6208754476042028,"[0.77212806 0.80151229 0.47488584 0.21958457 0.49769585 0.54653465
 0.65444126 0.74906367 0.76821192 0.72469636]"
7,0.7051049293135754,"[0.72693032 0.81801802 0.64912281 0.52966102 0.69632495 0.56737589
 0.77060932 0.799117   0.78878505]",0.9054904052287582,0.6239472899949476,"[0.72727273 0.80789946 0.61399549 0.43792325 0.26268657 0.42245989
 0.74475524 0.69325843 0.78017241 0.74904943]"
8,0.7253405608019636,"[0.8173258  0.83529412 0.64615385 0.57713249 0.69052632 0.60310421
 0.77992278 0.76888889 0.8097166 ]",0.9159115294117646,0.6403901639979888,"[0.33426184 0.66813187 0.62998102 0.53406998 0.67083333 0.58441558
 0.76628352 0.76169265 0.71944923 0.73478261]"
9,0.7340993577220194,"[0.74725275 0.89333333 0.66814159 0.5478424  0.69433962 0.651341
 0.78625954 0.7751004  0.84328358]",0.9221639738562092,0.6510954584066238,"[0.6635514  0.26315789 0.65033408 0.53136531 0.68148148 0.63218391
 0.77011494 0.76       0.81007752 0.74868805]"
0,0.7177872402337877,"[0.83972912 0.66138614 0.53533191 0.65116279 0.63617464 0.68301226
 0.81679389 0.86756238 0.76893204]",0.8962915555555556,0.6494958397824866,"[0.69427527 0.82272727 0.47216036 0.51820128 0.61276596 0.62576687
 0.64864865 0.79849341 0.62557078 0.67634855]"
